chr	start	stop	pos	iteration
7	9544985	9545706	9545440	1
13	77839088	77839569	77839194	1
7	70037458	70038779	70037492	1
10	77210299	77211421	77211262	1
10	124838930	124839531	124839480	1
22	38381512	38382555	38382261	1
6	85592389	85593230	85592917	1
11	16728789	16729390	16729028	1
7	47884574	47884694	47884645	1
8	28370751	28371832	28371630	1
1	19095196	19095557	19095401	1
12	59364014	59364615	59364345	1
1	82664783	82665384	82664894	1
10	87783246	87783367	87783317	1
14	29345077	29346158	29346086	1
8	66072180	66072661	66072391	1
8	72271383	72271984	72271777	1
6	93278213	93278814	93278581	1
17	59203726	59204207	59204121	1
10	3088423	3089024	3088736	1
9	77326072	77326759	77326358	1
10	659698	660299	660156	1
16	49623232	49623953	49623636	1
13	72200569	72201170	72200943	1
2	59133198	59134159	59133991	1
15	68992213	68992775	68992524	1
3	114142936	114143537	114143386	1
X	148009526	148010007	148009551	1
19	4077947	4078188	4078003	1
17	55975676	55976205	55975895	1
5	91272636	91272997	91272768	1
6	6741178	6741419	6741355	1
5	172121624	172121865	172121734	1
6	98828451	98828812	98828728	1
14	36843672	36844273	36843906	1
4	145276744	145278785	145278562	1
18	54528329	54528810	54528517	1
5	91700643	91701244	91700652	1
2	60224314	60224795	60224684	1
10	8082544	8083145	8082812	1
3	70655031	70655992	70655799	1
1	61623060	61623781	61623235	1
16	67896712	67897193	67897164	1
1	61709722	61710203	61710013	1
19	30715285	30716609	30716212	1
X	147829143	147829864	147829794	1
1	243585401	243586002	243585466	1
7	90830967	90831688	90831665	1
13	36136611	36137212	36136705	1
3	71290381	71292662	71291948	1
10	8546485	8547086	8546539	1
7	113517718	113521132	113519291	1
4	112326925	112327526	112327254	1
3	114800848	114801449	114801432	1
5	50467831	50470049	50469632	1
8	106686073	106686794	106686356	1
10	121109128	121109609	121109435	1
11	1570097	1570698	1570145	1
11	30656976	30657457	30657445	1
10	131680304	131681025	131681019	1
6	140372967	140373688	140373220	1
22	36002413	36002894	36002657	1
7	21004483	21004844	21004749	1
16	532480	532750	532510	1
9	128408945	128409666	128409409	1
2	5549511	5553087	5549978	1
5	77145835	77146196	77146003	1
2	144533988	144534469	144534006	1
1	207198087	207198677	207198578	1
5	30747665	30748266	30747897	1
18	49572534	49574575	49574055	1
11	32052769	32053370	32052912	1
2	241173972	241174333	241174133	1
18	36100591	36101192	36100883	1
2	58861641	58861762	58861729	1
16	51934674	51935275	51935229	1
22	43302286	43302407	43302345	1
15	35674009	35674129	35674068	1
8	140398504	140398625	140398589	1
8	93151261	93151742	93151420	1
4	151277113	151277594	151277430	1
10	917848	918449	917957	1
4	85364633	85365114	85365094	1
8	72332232	72332685	72332638	1
18	22692300	22693621	22692897	1
1	202997880	202998361	202998014	1
X	147829143	147829864	147829343	1
9	137553052	137553653	137553126	1
3	17987934	17988655	17987937	1
22	31515515	31515756	31515689	1
16	72459452	72460192	72459686	1
7	114173919	114174776	114174519	1
3	18306360	18306841	18306595	1
1	218207363	218208564	218207654	1
1	243507454	243507694	243507691	1
X	139332032	139333452	139332074	1
16	51671105	51671946	51671526	1
